상호명,업종중분류명,업종소분류명,표준산업분류명,행정동명,위도,경도,합친데이터,네이버키워드,naver_store_url,store_address,store_score,visitor_review,total_of_people_voted,리뷰 총인원
범박식당,한식,한식/백반/한정식,한식 음식점업,범박동,37.4671348442594,126.811870125257,한식한식/백반/한정식한식 음식점업,범박동%20범박식당,https://m.place.naver.com/restaurant/36438461,경기 부천시 양지남로 49,4.45,"/역곡에서 자주가는 맛집. 가보면 왜 맛집이라 하는지 알 수 있습니다. 가성비 좋은 이탈리아 레스토랑이라 데이트코스나 가족모임 장소로 최고예요./완전 맛있어요!!! 빵을 까르보나라 소스에 찍어 먹으면 꿀맛!!/근처에 이렇게 맛있는 파스타집이 있는줄몰랐어요~ 가격도 좋고 맛도있어서 자주 올 듯하네요 :) 빠네 강추에요!!/여기 로제 빠네 엄청 맛있어요! 크림도 넉넉해서 빵 다 찍어 먹기 충분해요~~ 피자도 토핑 다양하게 먹을 수 있어 좋네요!/명란크림파스타에 명란이 많아요. 크림의 풍미와 잘 어울립니다. 알리오올리오 파스타도 깔끔하고 맛있습니다. 사장님이 친절하세요/맥주와 함께 즐길 수있는 파스타 맛있어요! 특히 칼칼한 불마녀 파스타 추천해요:)/초창기 범박동 카페거리 생길때부터 지금까지 쭉 자리를 지키고 있는 몇 안되는 식당 중 하나예요. 분위기 내고 싶을때가 아닌, 파스타를 후루룩 먹어버 리고 싶을때 먹기 좋은 곳 아닌가 싶어요. 배달 주문 했는데요~ 최소 주문이 5,000원 이상이면 된다니요😘😁😄 혼밥할때 딱 좋았습니다./오랫만에와서 맛있게,잘먹었어요 여전히,친절하세요~/메뉴가 많아서 좋아요. ^.^* 아이와 함께 오기도 좋아요. 저희는 리조또 시켰어요~ 근처에서 스파게티 먹으러 왔는데 분위기도 괜찮네요./파스타는 역시 빠네😘 맛있어요 양이 많아서 둘이 다 못 먹을 정도네요 히힛",/4.45/492개 평점 426명 참여,355
도미노피자부천옥길점,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",범박동,37.4717534455927,126.816884316529,"패스트푸드피자전문피자, 햄버거, 샌드위치 및 유사 음식점업",범박동%20도미노피자부천옥길점,https://m.place.naver.com/restaurant/872571013,경기 부천시 양지로 125 예품빌딩 1층,4.36,"/씬피자 부담없고 맛있어요/친절하고 맛있어요/피자집중 내 입맛에 제일 잘맞는 도미노피자/부천페이가능, 도미노피자 굿/피자 맛있어요/어린이날 기념 방문 포장하면 50% 할인이래요~!! 참고하셔여|!/더욱번창하세요/넘 맛있고 친절하시네요!/도미노피자 체고..~/맛있어요 포장해가기 좋아요",/4.36/366개 평점 313명 참여,193
한라산도새기,한식,갈비/삼겹살,한식 음식점업,범박동,37.4721850284989,126.814096440567,한식갈비/삼겹살한식 음식점업,범박동%20한라산도새기,https://m.place.naver.com/restaurant/58353341,경기 부천시 양지로 102,4.41,"/고기도 청국장도 맛나요/일요일 점심에 아내와 방문하였습니다. 메뉴는 제주명품흑돼지오겹살 2인분, 계란찜, 공기밥을 주문하였습니다. 물통에 반찬 찌거기와 물티슈에 소스 같은 찐득한게 붙어 있었지만 그러려니 하였습니다. 고기는 양이 조금 부족해 보였지만(2인분 360g) 적당히 두툼해 아내가 좋아하기에 넘겼습니다. 문제는 계란찜이었는데 적당히 먹을만 했지만 계란찜 안에서 둥글고 다리가 많이 보이는 무언가가 누워있었습니다. 쥐며느리…종업원이 확인하.../제주도에 가지않고 제주고기 먹을수 있어서 좋았어요./오늘 같이 흐린 날에 생각나는 한라산 도새기 오겹살 역시 맛나용~~/좋아여/오랜만에 방문했네요. 맛있어요/주변고깃집에서 먹어본 고기중 최고에요.,, 그리고 비빔냉면 맛집 ㅠㅠ고기도 냉면도 다다다다다맛있어요ㅠㅠ앞으로삼겹살은 이곳으로!/냉면이 맛있어요/친절하고 맛있어요 역시소문대로네요/좋아요",/4.41/105개 평점 91명 참여,43
육대장,한식,한식/백반/한정식,한식 음식점업,범박동,37.4730613277981,126.813426886801,한식한식/백반/한정식한식 음식점업,범박동%20육대장,https://m.place.naver.com/restaurant/33758558,경기 부천시 양지로 93,4.3,"/육칼 맛있어요~/평소에자주가서 먹어요 한끼 배부르게먹었어요^^ 어른, 애들 같이 먹을수있어서좋아요/맛있는 육계장. 육대장/육칼 칼칼해서 맛있어요~~/국물이 찐하고 맛있어요/좋아요~/굿/ㅎ/육칼이 더 잘나오는 듯📌/딸이 면이 먹고싶다해서 면좀주면 안되냐니까 단호하게 안된다니 면추가도없고 기분상해서 다신안간다",/4.3/514개 평점 434명 참여,193
이강숯불갈비,한식,갈비/삼겹살,한식 음식점업,범박동,37.4744610858647,126.81194634488,한식갈비/삼겹살한식 음식점업,범박동%20이강숯불갈비,https://m.place.naver.com/restaurant/38711169,경기 부천시 양지로 69,4.19,/고기랑 반찬은 맛있었는데 된장찌개가 반찬만큼의 맛은 아니였어요 유난히 큰목소리로 술먹으며 대화하는 가족때메 시끄러워 좀 불편했어요/왕갈비하고 밑반찬이 맛있어요/고기가 맛있어요/갈비가 맛있어요/좋아요/왕갈비도 맛있고 반찬이 깔끔하고 맛있어요/ㅅ/맛있어요~/말이 필요없는집 그냥 가서 드세요 밑반찬에 우무가사리가 웬말이냐 사이드메뉴에 추가해주세요!! 1년 4계절 먹게!!!/간만에 외식~ 갈비 맛나게 잘 먹었어용~♡,/4.19/85개 평점 81명 참여,39
죽이야기,별식/퓨전요리,죽전문점,한식 음식점업,범박동,37.4672485119523,126.821420571102,별식/퓨전요리죽전문점한식 음식점업,범박동%20죽이야기,https://m.place.naver.com/restaurant/12789908,경기 부천시 범안로 117 현대리치모아상가 126호,4.41,/언제 먹어도 맛있습니다. 죽 먹고 싶을때는 항상 여기서 먹고 있어요./맛있네요/굿굿/야채양이 아쉽네요../좋아요/좋아요/좋아요/좋아요/굿/너무 맛있고 친절하세요.,/4.41/69개 평점 73명 참여,41
얌샘김밥,분식,라면김밥분식,분식 및 김밥 전문점,범박동,37.4626379553638,126.812698640049,분식라면김밥분식분식 및 김밥 전문점,범박동%20얌샘김밥,https://m.place.naver.com/restaurant/1232756989,경기 부천시 범안로 221,4.43,/김밥이 밥은 얇고 속은 꽉찬 김밥이어서 맛있어요! 돈까스랑 탕수육도 바삭해서 잘 먹었습니다~~/왜 포장인데..매번 젓가락이나 단무지등 하나도 안챙겨주고 달랑 음식만 넣는지 모르겠어요ㅡㅡ;;; 저번에는 포장해서 확인했는데 또 안 넣어서 손으로먹었는데 일일이 포장해갈때 마다 소비자가 직접 확인하고 달라고 해야하게 너무 불편해요. 귀찮거나 코스트 절감 때문이라면 그래도 손님한테 좀 물어보고 선택해서 할수있게 하지.. 포장에 모두 빼는지 이해가 안갑니다./친절하지는 않아요/맛있어요~/점심~/점심으로/적당한 가격..적당한 맛^^/항상 맛나게 먹어요 김밥이 맛있어요/좋아요/굿,/4.43/356개 평점 236명 참여,192
홍루이젠,패스트푸드,샌드위치전문점,"피자, 햄버거, 샌드위치 및 유사 음식점업",범박동,37.4655747846638,126.827076332873,"패스트푸드샌드위치전문점피자, 햄버거, 샌드위치 및 유사 음식점업",범박동%20홍루이젠,https://m.place.naver.com/restaurant/1127590879,경기 부천시 양지남로 22 1층,4.51,/항상맛있네요/맛있어요/👍🏻/샌드위치 맛있어요/맛있어요 새로나온 신상도 좋네요/굿/좋아요/굿/맛나요./굿,/4.51/174개 평점 159명 참여,73
이디야커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4626382960409,126.812732545861,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20이디야커피,https://m.place.naver.com/restaurant/33252921,경기 부천시 양지로67번길 26,,/자주 가는곳이에요/자주 이용하고 있어요! 굳굳/친절하세요 ㅋㅋ 글구 좀 넓고 조용해서 좋았어요 ㅋㅋ/좋아요/화장실도 안에 있어서 편해요~/맛있어요 조용하고 넓어요/굿/맛있고 친절해요^^/굿,,114
코바코,양식,돈가스전문점,서양식 음식점업,범박동,37.4672485119523,126.821420571102,양식돈가스전문점서양식 음식점업,범박동%20코바코,https://m.place.naver.com/restaurant/1247295677,경기 부천시 양지로184번길 29,4.38,"/혼밥하기 좋고 김치찌개돈가스 칼칼하니 맛있었어요!/사장님 친절하시고 혼밥해도 좋은 곳이에요 맛도 좋아요/요기 맛있어요♡/근처 일 있어서 갔다가 방문 했는데 맛있네요 친절하고 맛나고 새우돈까스 정식 아이랑 둘이 먹었어요 10,000 원인데 넘 잘 나오네요 ^^/돈까스가 바삭바삭 맛있어서 종종 먹어용/양도 푸짐하고 맛도 풍부하고 맛있어요~/주차하기가 힘들어서 멀리 차대고 걸어가서 포장하는데 손님중에 아는 사람이 왔는지 계속 그쪽이랑 얘기만하고 다른 손님이 와도 아는척도 안하네요. ㅎㅎ 결국 테이블에 앉아 있던 손님이 눈치를 주고나서야 저에게 어서오세요 하네요. ㅎㅎ 매장도 좁아서 음식 나올 때 까지 밖에서 기다리는데 뻔히 밖에서 기다리는거 알면서도 이미 음식이 나왔음에도 나왔다는 말 한마디 안하고 기분이 좀 그렇더군요. 바쁜 점심시간도 아니고 손님도 한테이.../굿/좋아요",/4.38/158개 평점 140명 참여,75
