상호명,업종중분류명,업종소분류명,표준산업분류명,행정동명,위도,경도
소문난곱창,한식,곱창/양구이전문,한식 음식점업,소사본동,37.4792790625839,126.793904466535
길향양꼬치구이,유흥주점,꼬치구이전문점,기타 주점업,소사본동,37.479661922965,126.795221147148
수경왕만두,분식,국수/만두/칼국수,분식 및 김밥 전문점,소사본동,37.4777485538675,126.795794554751
국선참치,일식/수산물,참치전문점,일식 음식점업,소사본동,37.4775503574707,126.795797735285
신토불이영광시골식당,한식,한식/백반/한정식,한식 음식점업,소사본동,37.4773164901317,126.794953543757
BBQ치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,소사본동,37.4772388681881,126.795293967661
소사떡집,제과제빵떡케익,떡전문,제과점업,소사본동,37.4791804260764,126.793951276792
물에빠진스파게티,양식,스파게티전문점,서양식 음식점업,소사본동,37.478556040886,126.793689965632
칭구따라,유흥주점,호프/맥주,기타 주점업,소사본동,37.4750901323371,126.794876237682
어사리회소사점,일식/수산물,해물찜/탕전문,한식 음식점업,소사본동,37.4795090018361,126.795246214987
청정원궁중뼈다기,한식,한식/백반/한정식,한식 음식점업,소사본동,37.4798810347958,126.794618394483
또묵지,한식,한식/백반/한정식,한식 음식점업,소사본동,37.4805917098673,126.793623319332
밀밭골국수,분식,국수/만두/칼국수,분식 및 김밥 전문점,소사본동,37.4807431226011,126.79433319068
처음처럼호프,유흥주점,호프/맥주,기타 주점업,소사본동,37.4800274839994,126.794842168536
옛날시골통닭,닭/오리요리,후라이드/양념치킨,치킨 전문점,소사본동,37.4803681029026,126.793785203857
한잔비어,유흥주점,호프/맥주,기타 주점업,소사본동,37.4750901323371,126.794876237682
한결남원추어탕,한식,추어탕전문,한식 음식점업,소사본동,37.4807431226011,126.79433319068
우리집,한식,한식/백반/한정식,한식 음식점업,소사본동,37.4787254789071,126.793517649691
전통한과,제과제빵떡케익,떡/한과집,제과점업,소사본동,37.4794168503163,126.794162295335
한솥도시락서울신학대점,패스트푸드,도시락전문점,한식 음식점업,소사본동,37.4813116161099,126.792650689737
김밥천국,분식,라면김밥분식,분식 및 김밥 전문점,소사본동,37.4726169578384,126.794452435979
썬단란주점,유흥주점,룸살롱/단란주점,일반유흥 주점업,소사본동,37.4810713654257,126.7947123369
김밥마을,분식,라면김밥분식,분식 및 김밥 전문점,소사본동,37.4808292908144,126.792183579964
59피자,패스트푸드,패스트푸드,그외 기타 음식점업,소사본동,37.481537069935,126.792669674956
지리산솥뚜껑암돼지,한식,갈비/삼겹살,한식 음식점업,소사본동,37.4750736132563,126.795023475585
호원냉면&수제돈가스,양식,돈가스전문점,서양식 음식점업,소사본동,37.4776799597498,126.795252968427
오미청국장,한식,한식/백반/한정식,한식 음식점업,소사본동,37.4750584927927,126.79442452236
show,별식/퓨전요리,샤브샤브전문,한식 음식점업,소사본동,37.4818210660789,126.794892505889
자매분식,분식,라면김밥분식,분식 및 김밥 전문점,소사본동,37.4815826756076,126.790961649758
토암골옛날막창,한식,곱창/양구이전문,한식 음식점업,소사본동,37.4766438179834,126.795258297063
꾸브라꼬숯불두마리치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,소사본동,37.4740782561954,126.798148452622
피자마루,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",소사본동,37.4805062334134,126.791431251312
예찬솥밥추어탕,한식,추어탕전문,한식 음식점업,소사본동,37.4790656242535,126.793297363094
소문난밥집,분식,라면김밥분식,분식 및 김밥 전문점,소사본동,37.4801538395085,126.794862751778
유로코피자,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",소사본동,37.4744056821928,126.798448457436
화성회관,한식,한식/백반/한정식,한식 음식점업,소사본동,37.4808689829424,126.796072363298
스시990,일식/수산물,음식점-초밥전문,일식 음식점업,소사본동,37.4808864642793,126.79248793406
향기커피호프,유흥주점,호프/맥주,기타 주점업,소사본동,37.4813116161099,126.792650689737
피제이피자,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",소사본동,37.4725626416515,126.79885103547
수준이다른치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,소사본동,37.4756940340476,126.801095972016
삼거리순대국식당,별식/퓨전요리,순대전문점,한식 음식점업,소사본동,37.4778780647771,126.792592875785
비어클럽,유흥주점,호프/맥주,기타 주점업,소사본동,37.4753270160394,126.795132463135
대보회수산,일식/수산물,수산물전문음식점-종합,한식 음식점업,소사본동,37.478787135234,126.795144743451
도레미호프타운,유흥주점,호프/맥주,기타 주점업,소사본동,37.4753077301081,126.795008410917
바보스부천소사점,유흥주점,호프/맥주,기타 주점업,소사본동,37.4770678138516,126.795308019616
누리진하오츠,중식,중국음식/중국집,중식 음식점업,소사본동,37.4767966239367,126.795221926369
공항칼국수,분식,라면김밥분식,분식 및 김밥 전문점,소사본동,37.4797188060013,126.797266672132
부길왕갈비,한식,갈비/삼겹살,한식 음식점업,소사본동,37.4810384602959,126.792372423084
파리바게뜨,제과제빵떡케익,제과점,제과점업,소사본동,37.4811515350006,126.792856782686
픽미픽미아이스,패스트푸드,아이스크림판매,제과점업,소사본동,37.4815241341814,126.793167371642
화오양꼬치,닭/오리요리,후라이드/양념치킨,치킨 전문점,소사본동,37.4798521477776,126.795319849614
비어비워,유흥주점,호프/맥주,기타 주점업,소사본동,37.480077278195,126.793541139571
도로시,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.4797188060013,126.797266672132
충남원,중식,중국음식/중국집,중식 음식점업,소사본동,37.4753160661501,126.792294927648
달구벌곱창막창,한식,곱창/양구이전문,한식 음식점업,소사본동,37.4703158386826,126.795879894394
두꺼비포차,유흥주점,호프/맥주,기타 주점업,소사본동,37.4787585128488,126.793223158888
양우포차,유흥주점,호프/맥주,기타 주점업,소사본동,37.4824450834381,126.796001846068
어사리회,일식/수산물,복전문,한식 음식점업,소사본동,37.4795090018361,126.795246214987
옛날짜장우동,중식,중국음식/중국집,중식 음식점업,소사본동,37.4764100469269,126.795307273152
호커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.481092393617,126.794124061413
할머니집,한식,한식/백반/한정식,한식 음식점업,소사본동,37.4811832961624,126.792437930975
종로떡,제과제빵떡케익,떡전문,제과점업,소사본동,37.4794168503163,126.794162295335
시리우스호프,유흥주점,호프/맥주,기타 주점업,소사본동,37.4701722715909,126.795938721739
이디야커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.4707188216644,126.795636026101
시골토종순대,별식/퓨전요리,순대전문점,한식 음식점업,소사본동,37.4815169664815,126.79423030332
장가네참숯수제돼지갈비,한식,갈비/삼겹살,한식 음식점업,소사본동,37.4811832961624,126.792437930975
병천토부리순대,한식,한식/백반/한정식,한식 음식점업,소사본동,37.4815724124053,126.792601266861
여우고개맛,한식,한식/백반/한정식,한식 음식점업,소사본동,37.4778632811685,126.792909681811
성심식당,한식,한식/백반/한정식,한식 음식점업,소사본동,37.4807322728793,126.792388657571
페리카나,닭/오리요리,후라이드/양념치킨,치킨 전문점,소사본동,37.4722294420888,126.795329157566
또오래오리전문점,닭/오리요리,오리고기전문,한식 음식점업,소사본동,37.4800563547344,126.79856149082
깻잎치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,소사본동,37.4809217692335,126.79594714514
금룡중화요리,중식,중국음식/중국집,중식 음식점업,소사본동,37.4773184500059,126.795145713025
부원분식,분식,라면김밥분식,분식 및 김밥 전문점,소사본동,37.4778858028722,126.792468385182
중화각,중식,중국음식/중국집,중식 음식점업,소사본동,37.4795090018361,126.795246214987
흑장미,유흥주점,호프/맥주,기타 주점업,소사본동,37.480077278195,126.793541139571
귀거래다방,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.4821459701248,126.791416145256
파리바게뜨,제과제빵떡케익,제과점,제과점업,소사본동,37.481974464306,126.793148821515
강호동치킨678소사점,닭/오리요리,후라이드/양념치킨,치킨 전문점,소사본동,37.4794716515776,126.796886221152
엄마손민물매운탕,일식/수산물,매운탕전문,한식 음식점업,소사본동,37.4802089482822,126.793199831666
소문난통닭4900,닭/오리요리,후라이드/양념치킨,치킨 전문점,소사본동,37.479964749469,126.795758988475
더안카페,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.4723556824088,126.795338436524
요거프레소,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.4801521103158,126.791165602833
민물장어산꼼장어전문점,일식/수산물,곰장어전문,한식 음식점업,소사본동,37.4798478639113,126.795783477008
실로암교회카페,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.4759662103164,126.792431439256
사랑방왕돈까스,양식,돈가스전문점,서양식 음식점업,소사본동,37.4799923879122,126.793169395713
마포주먹고기식당,한식,한식/백반/한정식,한식 음식점업,소사본동,37.4776799597498,126.795252968427
삼거리순대국식당,별식/퓨전요리,순대전문점,한식 음식점업,소사본동,37.4803983664271,126.793219397924
페리카나,닭/오리요리,후라이드/양념치킨,치킨 전문점,소사본동,37.4813772168556,126.793780287697
맛골김밥전문,분식,라면김밥분식,분식 및 김밥 전문점,소사본동,37.4707188216644,126.795636026101
마이더스,유흥주점,호프/맥주,기타 주점업,소사본동,37.4701722715909,126.795938721739
진미식당,한식,한식/백반/한정식,한식 음식점업,소사본동,37.4823084414856,126.789683607091
커피비,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.4807184099082,126.79191401041
소머리국밥,한식,해장국/감자탕,한식 음식점업,소사본동,37.4787946454066,126.794997642932
연탄불생고기,한식,갈비/삼겹살,한식 음식점업,소사본동,37.4737092345631,126.79818827822
맛나만두,분식,국수/만두/칼국수,분식 및 김밥 전문점,소사본동,37.4783028700418,126.792721713363
보라다방,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.479661922965,126.795221147148
중앙식당,한식,한식/백반/한정식,한식 음식점업,소사본동,37.4791439288071,126.793906638608
붐비어,유흥주점,호프/맥주,기타 주점업,소사본동,37.4723521092583,126.79498803337
팔도메들리,유흥주점,룸살롱/단란주점,일반유흥 주점업,소사본동,37.4806674454544,126.795747710549
잔치떡집,제과제빵떡케익,제과점,제과점업,소사본동,37.4793976786542,126.794049541044
더벤티,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.4678772275675,126.79796512769
카페웬디,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.4801763725062,126.791775755006
양가네가마솥영양탕,한식,한식/백반/한정식,한식 음식점업,소사본동,37.4809152227547,126.793538972564
김파퍼베트남쌀국수,양식,기타전문서양음식점,서양식 음식점업,소사본동,37.478138526582,126.797812079821
이모네포차,유흥주점,소주방/포장마차,기타 주점업,소사본동,37.4787600138051,126.793370114586
