가게_평점,평점에_참여한_인원,방문자_리뷰,리뷰_총인원
4.44,49,"/1일권 끊어보고 쾌적하고 조용해서 4주권 끊었습니다. 시설도 깨끗하고 관리가 잘되어있어서 공부하기 좋아요/굿/공부하기 정말 좋은 곳 입니다~~!! 편하게 집중해서 공부하실 분들은 방문해 보세요~~^^/깨끗하고 쾌적하고 조용합니다./ㅎ/자격증 공부로 정액권 이용중이에요. 여긴 항상 깨끗해서 신경쓰이는 일도 없고 직원분도 친절하세요. 특히 화장실이 쓰기좋아서 편해요. 공부하는 사람들도 다들 매너가 좋으신 것 같습니다 💪 글구 커피머신이랑 얼음이 있어서 아아 굿☕️/굿/작심룸 연장했습니다~ 책상이 넓어서 책을 여러권 펼쳐놓거나 인강 들으면서 책 펴놔도 부담이 없어서 좋아요! 위쪽 수납공간도 넉넉해서 얼마든지 책 이나 개인 물품을 넣을 수 있어요^^ 프린터를 쓸 수 있는 공용공간, 휴게실, 화장실 모두 깨끗하게 관리가 되어서 기분 좋게 이용하고 있습니다. (오래 있 어야하는데 화장실 더러우면 이거 엄청 스트레스더라고요ㅎㅎ) 솔직히 말해서 집에서 움직이는 사람 없이, TV 안틀었을 때 만큼 고요하진 않습.../매니저님도 친절하시고 관리도 잘 되어서 매번 여기만 이용해요👍👍/휴게실이랑 스터디룸 모두 관리가 잘 되어있어서 깔끔하고 쾌적해요~! 관리자분도 넘넘 친절하십니다😝😝",43
4.9,35,/맛있어요! 숯불양념 중간맛 했는데 맵찔이인데도 맛있게 잘먹었습니다~/숯불치킨 레알 너무 맛있어요 기존 치킨만 먹다가 냠냠숯불치킨 먹으니 신세계네요 넘 맛나서 밥 비벼 먹을뻔 했어요/근래 먹은 치킨 중 가장 맛있었어요 서비스도 좋고 친절하셔서 또 방문하고 싶습니다!/숯불향 가득한 치킨 너무너무 맛있었어요! 가격도 비싸지 않아 부담없어서 좋았고 양념이 너무 맛있어서 손에 묻은것 까지 아까웠습니다. 친절하게 잘 대해주셔서 더 기분좋게 먹고 나왔어요. 감사합니다./굿/굿/요즘 튀긴 치킨보다 굽굽하는 숯불치킨에 빠져가지고 시켜먹었는데 넘 맛있네요. 밥이랑 같이 먹기도 딱 좋고 손이가요 손이갑니다./ㅎㅎ 불맛이 은은하게 입혀져있ㅇㅓ요~ 냄새도 안나고 고기가 굉장히 부드랍네유/숯불양념구이 맛있어요! 맛있게 매운 계속 땡기는 맛이에요👍/ᆢ,44
4.75,39,"/완전맛나요/굳/김치찌개는 괜찮아요. 반찬은 돈가스용 반찬이라(흰무절임, 양배추, 깍두기,두부) 백반용으로는 좀 이상하긴 해요/좋아요!/굳/친절합니다/가성비 짱이에요/굿~/ㆍ/맛있어요",25
4.63,58,/^♡^/좋아요/커피 굿/맛있어요~~/조하요~~~ 맛잇어요!/케이크 맛있어요/좋아요/배달도 빨리 잘오고 맛있었어요 담에는 케이크도 시켜볼려구요 듣던데도 바닐라라떼 맛있네요/👍/아메리카노가 너무 맛있어요!,25
4.5,126,/집앞에 아이스크림 할인매장 잇어서 좋아요 냉동실에 그득그득 채워놧네요/맛있어요/좋아요/좋아요/편리해요/굿/좋아요/좋아요/굿/아이스크림 없었는데 오늘 가니 좀 있네요!,72
4.46,72,"/털이 많이 엉켰었눈데 잘 풀어주시고 엄청 예쁘게 잘 잘라주셨어요!! 감사합둥/이게 7만 오천원짜리 커트는 좀 아닌 거 같음 ㅠㅠ/울집 탄이단골 미용실입니다.친절하고 깔끔해서 좋아요./항상 친절하고 강지에게 진심인것 같아요/강아지가 미용하고와서 다리를 30분동안 핥고 못오게 하길래 후레쉬 비춰서 봤더니 앞다리 관절쪽이 시뻘개져있었음. 미용하면서 충분히 이럴수있다 고 생각함 하지만 사장님이 전화받더니 전혀 모르는 얘기라며, 자기 직원아니고 프리랜서 미용사라고함. 직접 미용사랑 통화하라고 나몰라라.. 이게 말 이되는건지 이런 애견미용샵에서 미용받는 강아지도 안됐지만 일하시는 미용사분들도 일하는 가게에서 보호를 받지 못받는게 넘 안쓰러웠음 . (.../울집 막내 단골 미용실입니다./좋아요/좋아요~/울집 막내단골미용실입니다./울집 막내탄이가 이뻐졋네요",40
4.7,21,"/아빠 환갑 기념으로 떡케이크 주문했는데 너무 예쁘고 예쁜만큼 맛도 있었어요!!💓 단호박설기로 주문했는데 부모님도 많이 안 달고 담백하니 맛있다 고 하셨어요 :) 주인공 아빠 입맛 취향 저격✨ 떡이 촉촉하고 쫀득쫀득하니 씹을때마다 은은한 단호박 단맛이 나서 넘 매력적이더라구요ㅠㅠ 꽃 앙금도 예쁜데 부드럽고 적당한 단맛이 나서 넘 맛있었어요,, 떡이랑 앙금이랑 같이 한 입 먹으면 이 곳이 천국😇 떡케이크 처음 주문해봤는데 너무 만.../친구가 여기 케이크 너무 맛있고 부드럽다고 하길래 언제 한 번 먹어 버려야지 벼르고 있다가... 초코를 좋아하는 친구 생일에 오레오가나슈케이크 주문 했어요 🤤 완전 부드러운 크림 + 찐~한 가나슈 + 오레오 조합 진짜 미친 녀석이에요,,,,,, 저는 이렇게 보들보들 촉촉한 케이크 겨드랑이에 털 나고 첨 먹 어 봐요 🥰 저는 사실 초코를 별로 안 좋아하는 편인데도 이 미친 조합에 정신 놓고 와구와구 퍼 먹었고,,, 초코쟁이인 친구들은 지금까지 먹었던 .../항상 케이크 주문은 스윗하모니에서 해요😍!! 일단 사장님께서 너무 친절하시고 원하는대로 잘 만들어주셔서 올때마다 만족도 최상입니다👍🏻👍🏻 그리구 제가 주문한 케이크는 크림치즈?맛이었는데 케이크 속까지 알차게 맛있었어요 넘 감사합니다 또 방문할게요>_<♥️♥️/기존에 브랜드 카페에 비해 메뉴들이 다들 특색있어서 너무 좋았어요 :-) 특색이 있다고 해서 막 튀거나 독특하지도 않고 너무 맛있게 먹었습니다-! 사장님도 너무 친절하시고 메뉴들도 예쁘게 포장돼서 선물하기도 좋은 것 같아요! 저는 모카케이크랑 로투스케이크 먹었는데, 다음에는 기념일에 주문제작 해보려구요!! 기념일에 선물하기도, 가볍게 먹기에도 다 좋은 것 같아요 :-)/휘낭시에 맛집이에요!!! 레터링케익과 디저트맛집! 꼭 한번씩 가보셔요!!!/케이크 주문했는데 너무 예쁘고 너무 맛있어요!! 다른 디저트도 엄청 맛있어요 케이크나 디저트 별로 안좋아하시는 분들도 여기서 드시면 계속 생각나실거예요ㅠㅠㅠㅠ스윗 하모니 짱❤️❤️❤️❤️/색감도 너무 예쁘고 진짜 맛있어요!! 너무 달지도 않아서 특히 어른분들께 선물하기 좋을 것 같아요!!👍👍 사장님도 짱 친절하시구 최고입니당🥰/원하는대로 케이크 디자인이 예쁘게 나와서 1차 만족, 맛있어서 2차 만족, 가격도 합리적이어서 3차 만족,, 사장님도 친절하셔서 첫 주문 제작 케이크 기분좋게 성공했네요💖 다른 메뉴들도 많던데 다음에 또 주문해야겠어요!! 감사합니다 >,</사장님이 넘 넘 친절하시고 가게도 엄청 청결했어요 >__< 일단 케이크가 넘 예쁘고 .... 딱 제가 원하는 대로 만들어주셔서 완존 만족이에요 ㅠㅠㅠㅠ 다음에 또 주문할게요 ㅎㅎㅎ/🍓딸기찹쌀떡 맛집🍓 딸기찹살떡 먹고 싶으시다면 무조건 스위트하모니! 너무너무 맛있어요ㅜㅜ 지인 추천으로 먹게됐는데 또 주문하려구요♥ 사장님 너무 잘먹었습니다 최고💕💕👍🏻👍🏻 번창하세요~~!!",20
4.27,128,/굿/굿/여름에 아이스크림 굳굳~~/저렴하구 다양한 종류/문구류도 있어서 넘 좋아용💖/아이스크림 많고 좋아요/좋아요/좋아요/좋아요/좋아요,122
4.11,196,"/집앞 진사갈비 진심 매주갑니다. 집에서 삼겹살 굽는거 싫어해서 가성비 정말 최고입니다. 사실 집에서 한근반 사면 실컷 먹지만 숯불에 밑반찬에 음료 에 야채에.. 이정도면 14900원이 가성비 대만족입니다. 그래서 된찌랑 냉면까지 시켜먹어요ㅎ 코로나 이후로 손님 없어서 전세내고 내집처럼 구어먹 었는데 모처럼만에 만석이라 사진한번 올립니다. 쌈장이랑 야채가 금방 털어지더라고요ㅎ 코로나 이후로 이렇게사람 많았던적이...장사 잘되시.../사이드메뉴를 시켰는데 안나오길래 물어봤더니 오래걸릴거같아서 취소했다네요? 말도없이 ㅋㅋㅋ 이런 일 처음 당해보고 네이버 리뷰도 처음 써봐요 ^^ 본인이 실수로 주문 안넣은거같은데 말도 없이 취소를? 그리고 이후에 해당 메뉴 가져다주면서 소스를 던지더라구요 ..처음 들어갔을 때부터 가격 오른거 알고왔냐고 비꼬면서 묻더니...사회생활 해본 사람인지 궁금하네요 아 ,사실 위에 말한 이야기는 사회생활 안해봐도 기본으로 하지말아.../맛도 좋고 셀프바도 깨끗해서 좋은데, 주말낮에 근무하시는알바생분 불빼시는거 말씀도않고 멀뚱 서있으시더니 불빼시는거 당황스러웟습니다.. 다음엔 말씀해주시고 빼주셨으면 좋겠어요!!^^/사이드 메뉴가 별로없어요.../한산한날 방문해서 맛있게 먹었습니다!^^/삼겹살이 진짜진짜 맛있고 사장님이 친절하세요/알바가 어리버리../식구들과 한달에 두어번씩 가는데 정말 숯불에 고기를 이렇게 맘껏 먹을 수 있어 넘 좋아요 요즘 고깃값도 많이 올라 야채사고 찬꺼리 만들면 이 금액 나오는데 진사갈비에서 편하게 먹고 와서 넘 좋습니다. 사장님도 친절하시고 알바학생도 친절해요^^ 자주자주 오겠습니다. 자영업자들 힘내세요/맛나요 근데 약간 정신없어요~/사장님이 무척 친절하시네요",82
4.59,247,"/전번에 엄청 감동하면서 먹었어서 오늘 오랜만에 들렀어요.집에서 도보 30분거리지만,오늘은 집에 들렀다가 전에 사장님이 주차장 알려주셔서 차갖구 가서 종알종알 떠들며 순살,껍질,매운닭꼬치~ (닭꼬치 사진이 없는 이유는 오는길에 다 먹어치워버려서~소스듬뿍~땅콩분태듬뿍~내뱃살도 듬뿍^^;) 전 에 맛본 야채순살 사먹고 싶었는데 날이 더워지면 안하신다니...여름이 지나가길 기다려야겠네요. 사장님,따님 여전히 친절하시고 기분 좋았어요.../어즈께 유툽알고리즘으로 우연히 보고 함 가볼까했어요. 집에서 걸어서 30분 안팎거리... 아근데 진짜 맛나네요~ 똥집이랑 닭껍질 튀김은 오면서 맛만 본다는게 멈출수가 없드라고요.원래 양은 더 많아요^^;반이상이 집에 오는길에 제뱃속으로 ctrl+v되 버려서...(싸장님 죄송해요ㅠㅡㅠ) 둘이 먹긴 넘 많 은듯 해서 순살야채튀김과 똥집을 고민하다 똥집을 픽했는데...막판에 맛보라고 꼬지에 꽂아주신 한댕이에 살짜쿵 후회가 되기도...ㅋㅋㅋ 한번 .../단골입니다 맛있고 양까지 많아요 그리고 친절하십니다. 앞으로도 쭉 단골할거에요/자주 방문하는 곳 이에요~ 맛 있고 좋아요. 소사시장 맛집이네요/가격이저렴하고 옛날통닭입니다./가성비 좋고 너무 맛잇어서 자주 시켜먹습니다!!/몇년째 단골이에요 혹여 다른 가게걸 먹어봐도 닭비린내도 있었고 여기처럼 바삭하지도 않아서 결국은 다시 여기것만 먹게 되네요 염지도 그렇고 바삭함도 그렇고 특별한 기술이 있는듯 하네요 사장님도 항상 친절하시고 계속 번창하셨음 좋겠어요/가격도 싸고 맛도 좋아요~/맛잇고 양많고 너무 좋습니다/자주 들러서 사먹는데 항상 맛이 좋아요~~~!!",253
4.62,52,"/집근처고 가격도 착하고 사장님도 친절하세요~ 전화 방문포장시에 2천원할인or후루룩떡볶이를 주시더라구요~~~떡볶이 선택했는데 맛있어요^^ 아쉬 운점은 다른 타 체인점 치킨에 비해 닭이 작은건지 양이 적은건지 둘이 먹는데 하나 남았나?늘 이집저집 같이 먹던 친구도 작다고 그러고 저도 좀 공감 이되더라구요. 그래도 무튼 잘먹었습니다👍 양이 적은건지,/여사장님께서 정말! 친절하십니다! 방문포장 시 받을 수 있는 떡볶이가 너무 맛있어요👍/굿/여기 진짜 친절하고 맛있어요ㅠㅠㅠ♡♡♡/여사장님의 친절한 응대 덕분에 부담없이 방문 포장을 자주 합니다. 넘 친절하셔서 방문할 때마다 기분이 좋아요. 그래서 다른 치킨집 주문 안합니다. 항상 번창하고 변함없기를./매우만족합니다 자주 주문해야 겠네요/매우만족합니다 계속 주문 이용하고 있읍니다/후라이드 치킨이 바삭하고 맛있어요 -!/매우만족합니다 가격대비 가성비 좋은 곳/맛있어요♡♡",27
4.41,140,/맛있어요. 아구양이 적어요./진짜 인생알찜이에요 존마탱탱탱!!!/굿굿 너무 맛있어 깔끔하게 다 먹었네요/처음 시켰는데 맛도 양도 괜찮네요 아구찜 정말 좋아하는데 종종 시킬듯하네요/인생까지는아닌것같지만 나쁘지않아요 가성비이정도면좋아요/인생알찜♡/가격이랑 맛모두 괜찮아요~/알 많이 넣어주셔서 잘먹었습니다/오랜만에 먹었는데 맛있어요/맛이 괜찮아요,74
4.32,23,/딸아이 병원갈때 마다 들르는 디져트 가게예요./친절하세요./사장님친절하시고 조용한분위기좋습니다/좋아요/굿/시운해요/시원하니 좋네요/좋아요,15
0.0,0,/피자가 맛있고 저렴해요/맛있었어요/맛있었어요/☆☆☆/피자는 여기서만 먹어요/맛있어요 치즈 많이 올려주세요/정말 맛있어요 또 주문할께요/넘 맛있어요..드셔보세요~~/찾으러가면 3000원씩.할인해줘서 좋아요/유명 브렌드 피자보다 맛있고 사장님도 친절하세요,12
3.87,34,"/맛있어요/좋아요/좋아요/좋아요/굿/굿/어제 코로나 확진자 2400명 나왔는데 마스크를 전혀 안쓰시고 서빙하시더라구요,, 주방분도 저희 오니까 마스크 쓰시더니 주방에서는 턱스크,,그리고 음식 만들때 기침을 엄청 하셨는데 진짜 불안하더라고요,,/좋아요/굿",9
4.6,53,/진짜 맛있어요 ♡ 저번에 그냥 방문하고 너무 맛있어서 또 왔어요! 따뜻한 분식집인거같아요/자주 오는 단골집입니다. 사장님 손이 크셔서.. 김밥 1줄만 먹어도 배가 넘 불러요. ㅎㅎㅎ 김밥 먹다보면 약간 질리는데 메뉴가 다양해서 좋아요. 전 '보 리새우진미채김밥'이랑 '고추짱아찌김밥'이 젤 좋더라구요. 나이가 들다보니.. 입맛이.. 종종 배달도 시켰는데 요즘엔 배달비가 비싸서 포장해서 먹어요 ./김밥은 물이생기고 생각보다 짜요 (싱겁게 먹는사람아님)/후기 남길 생각 없이 먹다가 찍어서 사진이 별로네요! 김밥 엄청 맛있어요 특히 소불고기와사마요! 양배추에서 와사비맛 살짝 나는게 소불고기랑 엄청 잘어울려요 속도 가드윽 들어있고 넘 좋아요!/맛있어요/김밥이 너무 맛있어요 카레향이 나는 떡볶이 스타일이에요./좋아요/좋아요/굿,31
4.31,50,/소사동에서는 항상 이 곱창집 애용합니다~ 맛나요~양도 많이 주시고 친절합니다~/양도 푸짐하고 가격대비 맛잇어용 사장님이친절해요^^/맛있어요/조아/좋아요/맛있어요~/좋아요/굿/굿/맛있아요,37
4.45,100,/팥이 많이 들어있고 만두피 얇은거 맛있습니다 가격 조금씩 올랐는데 올라도 전혀 아깝지 않아요👏🤭/만두크기가 어마한데 피는 얇고 속은 꽉차있어요 가성비 짱좋은 맛집 저희는 자주 애용할것 같아요/김치 만두는 정말 맛있어요/언제나 맛있어요/김치만두 매콤하고 맛있음!!/만두 정말 맛있어요/맛있었어요/김치만두 맛있어요/만두 맛있어요/만두 찐빵 너무 맛있어요 내번째 방문해서 겨우 찐빵맛을 보았는데 너무 맛있어요 근대 조금 친절하게 하면 좋을거같아요,68
4.33,44,/굿/참치 굿!/싱싱하고 맛있어요!!!!/E/굿/신선하고 맛난 참치집/조아요/좋아요~/깔끔하고 양도많아요!/친절하고 깨끗해고 신선한 참치회가 맘에 들어요,16
4.3,274,/걷에 껍질이 너무 바삭해서 좋았고요 안에 고기는 퍽퍽하지 않고 부드러워서 맛있게 먹었습니다! 또 시킬게요😉/배달비가 조금 올라서 아쉽지만 그래도 맛은 최고/제가 잘못 주문 해서 다른 메뉴시켰지만 그래도 맛있네요/맛있게 잘묵었어요~^^/너무너무 바삭바삭~!!!/맛있게 먹었어요/맛나요/맛있어요 다음에도 시킬게요/오늘도 비비뀨~~♡/비비뀨 좋아하는 한사람!^^,216
4.31,136,/굿/좋아요/좋아요/조아요/굿/굿/좋아요/맛있어요/좋아요/좋아요,43
0.0,0,없음,8
0.0,0,없음,1
4.24,32,/국밥 맛있었어요/😊/먹을만해요!/국밥 엄청 맛있어요! 💖/괜찮아요/김치찌개 좋습니다/좋아여/맛은 그냥 반찬은 맛이별로/혼자 밥먹을 때 자주가요 진짜 맛있구 양도 많은 것 같습니다 ♡/굿,14
0.0,0,"/친절하시고 가격 저렴한데 맛있었어요/김밥 2,000원으로 저렴해서 좋아요 근데 손님이 와도 지인분과 계속 대화하시고 김밥 마는데 지인분은 마스크도 안하시고 주인분과 계속 대화하셔서 불편했네요... 그래도 저렴하고 김밥도 맛있고 부천페이 결제도 가능해서 재방문의사 있습니다/맛있어요/괜찮아요/싸고 맛잇어요 ㅎㅎ/음식이 맛있고 친절합니다/괜찮아요/괜찮아요/좋아요/좋아요",12
4.19,35,없음,16
0.0,0,/ㅅ,1
4.29,96,"/음식이 맛있어요, 자주 가요/시래기밥 맛있고 반찬도 정갈해요 누룽지도 좋아요/좋아요/좋아요/맛있음/좋아요~/좋아요/좋아요/좋아요~/맛있어요~",35
0.0,0,없음,3
4.56,123,/역시한솥/요즘 코로나 땜에 매장내 취식이 안되는것 같더라구요 전 항상 포장해서 괜찮았어요~/사장님 친절을 베풀어 주셔서 감사합니다. 추운 날 한 끼 식사 잘 했습니다./좋아요/사장님들이 마스크를 잘 안 쓰시네요/좋아요/맛있어요 양도 많고!/좋아요/사장님 너무 친절하시구 맛있어요!/한솥 돈까스도련님은 사랑입니다,53
4.16,176,/김밥 맛있는 김천./가볍게 포장해서 먹기 좋았습니다 맛도 있어요/🫶🏿/손이 너무 느리세요ㅠㅠ답답.. 그래도 맛있어요/굿/맛있어요/좋아요/굿/맛있어요~~/굿,70
3.79,13,/ㅈㅇㅈ/굿/첫방문/참기름향이솔솔/일반김밥2000원. 그런대로 괜찮아요. 우엉들어갔어요,5
4.24,166,/베이컨포테이토 맛있어요~ 가격이 좀올랐네요/도우가 맛있어서 일부러 오구피자로 먹습니다. 직원들 친절하고 주문해놓고 마트다녀오면 딱입니다./가성비 짱ㅎㅎ 맛있어요/굿/맛나요/친절/오랫만에 먹으니. 맛있네요/좋아요/깨가 아닌 것이 보이네요~/좋아요,56
4.09,19,"/동네에 이런 맛집 있어서 너무 좋아용/동네 찐 맛집이에요 ~~ 굿굿/솥뚜껑과 고기 조합 👍🏻/고기도 맛있고, 사장님 친절하시고~ 편안하게 식사하기 좋아요/소사동 맛집/굿굿/가성비 최고! 맛있습니다!/항상맛있게 잘먹습니다 감사합니다~~~/가성비 좋아요/싸고 맛있어요",26
4.38,821,"/환장하게 맛있음😍 살얼음 동동 시원하니 냉면 맛 제대로 느낄 수 있어요. 냉면이 원래 이렇게 맛있는 음식이었나요,,돈까스도 촉촉 바삭이 공존하는 경양식의 정석이네요. 현주민들로부터 꾸준히 인기가 많은 이유를 알겠어요! 너무 맛있게 잘 먹고 가요👏/가격도 착하고 양도 많아 남겼네요.. 번창하세여/돈까스 냉면 가성비 좋고 맛있어요^^/직원들도 넘맛나게 먹었습니다 ^^ 레알 소사 맛집이셔요/가게는 손님이 많아 복작거리지만 모두 친절하시고 냉면이 시원하고 맛있습니다./냉면 짱맛 여긴 돈까스도 맛있어요!/500원 인상해도 맛은 그대로,,, 소사역 소확행/넘맛나게 잘먹었습니다 ^^/가격은 많이 올랐지만 냉면처돌이는 맛있어서 자주 가요..../돈까스맛있어요",472
4.32,108,/김치찜하나랑 청국장하나시켰지만 3.4명도먹을수있을것같은 양. 맛도 양도 만족하고가요ㅎ/청국장 안먹던 제가 여기오고나서부터 오미청국장만자주 옵니다ㅎㅎ 소사동 강추 찐맛집 !!/강추~/굿/엉 마손맛/동네서 편하게 가고 싶은곳/반찬도 메인도 너무맛있어요!!!!!자극적이지않아서 좋아요❤/시골집 같은 엄마의 손맛/맛있어요/맛있어요,62
0.0,0,없음,3
4.33,78,"/맛있었습니다./좋아요/굿/동생이랑 부천나와서 점심먹었어요/김밥에 야채가 좀 더 많이 들어갔으면 좋겠고, 사장님 부부가 좀 더 친절하셨으면 합니다./굿/굿/가성비좋아요/김밥맛있어용 사장님도 친절하십니당/야채김밥과 라면 먹었습니다. 군더더기 없어서 굉장히 맛있었습니다.",27
0.0,0,없음,0
4.75,11,/맛있게 잘 먹었습니다!!/사장님이 친절하시고 음식도 맛있습니다./양많고 맛있어서 좋아요~~/처음 먹어밧는데 맛있어요/굿굿/우선 전화주문했는데 넘 친절 ^^ 숯불 보통맛과 소금구이 먹었는데 전 매운맛이 더 맛있더라구요 매운맛 좋아하시는 분은 보통맛 보다 매운 맛 추천합니다 글구 넘 착한 가격이네요/맛있었습니다/좋아요/맛있어요,10
4.57,56,/굳/좋아요~/좋아요~/조아요/맛난 피자~~/굿/맛있어요/고향의 맛./피자늘맛있어요ㅎㅎ/맛있어요,21
4.41,52,/너무맛잇어어요 강추/맛있어요/친절하시고 음식도 맛있어요*^^*/좋아요 좋아요 좋아요/굿. 단골집이에요.^^/뻥튀기도 있고 추어탕 맛있어요/배부르고 맛있게 잘먹었습니다 다음에 또 방문해서 먹을께요~/너무 친절하시고 맛있게 잘 먹고 갑니다 든든하네요!!/가게 이전하셨네요. 여전히 맛있고 양도 많고 깨끗해요./전에도 몇 번 갔었는데 가계 이전하셨네요. 맛은 여전합니다.,28
0.0,0,없음,1
4.41,38,"/맛있고 사장님이 친절해요♡/맛있었어요!!/맛나요/배고파 급하게 먹느라 사진을 못찍었네요 ㅠ 코로나로 외식도 어렵고, 날도 더운데 새로운 걸 먹고싶다며 요리조리 머리를 굴리다가 스시로 결정하고 테이크아웃했어요. 한 손에 가져갈 수 있도록 배려해주신 포장도 감사하고 연어초밥이랑 돈까스 모두 맛있네요. 화룡점정은 냉모밀이요. ^^ 다음에 또 주문할게요~/24/앗집추천합니다/좋아요/좋아요/맛있고 친절하세요/맛있어여",10
0.0,0,없음,0
4.6,54,/페제이 피자 처음먹어봤는데 너무맛있구! 양도많구 친절해서 너무좋았어요~~!! 친구들이랑 맥주한잔하러오기도 너무좋을거같아요~! 다음에 또방문할게요!!!/맛있어서 매번 배달만 시켜먹다가 이번에 매장에서 먹었는데 와.. 더 맛있어요! 사이드도 그냥 다 맛있구요 사장님도 넘 친절😍/피자를 자주 먹는 편은 아닌데 먹게 되면 항상 여기서 포장주문해서 먹어요. 페퍼로니 피자는 피제이피자만한 데를 못 봤네요. 페퍼로니가 겹겹이 있어 서 치즈크러스트도우나 고구마 도우랑 잘 어울려요 오늘은 쿠폰 잃어버려서 서비스 메뉴는 말씀 안 드렸는데 사장님께서 챙겨주셔서 정말 맛있게 잘 먹었습니다~. 감사합니다~./뉴욕페퍼로니 짱/페퍼로니 존맛이에여 최애피자집/좋아요/👍/👍/좋아요/Good,56
4.57,24,"/오후 5시경에 고기 삶는다는 풍문을 듣고, 5시 넘겨서 갔는데..머리고기는 기대치에 못 미치네요. 김장김치는 맛 있는데../굿/맛있어요/맛나요/그냥저냥/오늘은 간단하게 술국,머리고기 먹었는데 맛있어요. 담에는 다른 메뉴도 먹어봐겠어요 맛있을것 같아요/고기굿/맛있어요^^/머릿고기 쫄깃하고 맛있어요 순대국은 제 입에는 약간 꼬릿한 냄새가 느껴지긴 했지만 맛있게 먹었어요. 화장실도 가게 안에 있고 시원해요",17
0.0,0,/사장님 너무 친절하시고 치킨이 가성비 갑이예요!!♡♡ 번창하세요~/좋아요/맛있어요/좋아요~~/후라이드 시켰어요 가서 주문하고 찾아왔는데 금방 튀겨주시고 바삭해요 가격과 맛은 보통 수준 옛날치킨 느낌이에요/맛있어요,6
4.49,157,/회가 도톰한게 넘 맘에들어요/굿/굿/저렴해요/항상 잘 먹는 곳/굿/굿/양많고 맛있네요 어르신들 많은 동네 횟집 ㅎㅎ!/신선해요/좋아요,83
0.0,0,없음,2
3.91,65,/./굿/군/맛잇어요/굿/굿/조아요/병원갔다 찾아간 밥집/맛있어요/걍.그래요,26
4.34,599,"/샐러드 가성비가 좋아요.. 케이준샐러드 고기도 꽉꽉, 채소도 꽉꽉 담겨있어요 치킨 이렇게 주는 곳 못 본 듯해유!! 정량이 따로 없는지 의문도 드네요! 가늘게 썬건지 정량보다 더 주시는건지는 잘 모르겠지만 채소 우적우적 먹다보면 여기 지점의 제품은 치킨텐더가 밑에서 돌아다녀요 ㅋㅋ 체감상은 치킨텐더가 다른지점의 2배인데 원효대사 해골물이었다면 뭐 어쩔 수 없죠../맛있게 잘 먹었어요~~/가끔씩 갑니다/급하게 케이크 사야해서 들렀네요/빵이 신선해요/굿/집 근처 두 곳의 파리바게뜨 중에서 '소사주공' 지점이 빵 종류도 많고, 샌드위치와 샐러드 종류도 많이 만들어 놔서 구매하기 편해요 :)/빵도 다양하고 맛있어요/항상 친절하고 좋아요. 진열도 잘 되어 있어 편리해요/자주가요~ 앙금빵 맛있어용",427
4.53,47,/무인점포/좋아하던 아이스크림이 없어지고 색고드름이 생겼어요../굿굿/종류가 다양해서 좋아요/아이스크림 종류별로다양~~~ 싸고 좋아요~~/너무좋앙 싸고 좋아요/싸고맛있어요/좋아용~~/굿/찰떡아이스♡,22
4.65,23,/단골맛집. 양꼬치도 신선하구 서비스로 주는 건두부무침~! 역시 맛있어요!/존맛탱/맛나요/굿/언제나 맛있어요/맛있어요/맛있네요/굿,8
0.0,0,없음,7
4.4,64,/일부러 찾아가서먹는 대추차 진하고 너무좋다/음료 맛있어요/./좋아요/굿/굿/좋아요/좋아요/좋아요,43
4.59,29,/좋아요/좋아요/좋아요/좋아요/좋아요/좋아요/좋아요/좋아요/좋아요/좋아요,47
4.35,36,/좀 더 가면 나오는 생곱창 사용하는 가게도 가격이 18000원인데 여기는 굵기가 새끼손가락만한 곱창이 2만원이나 함. 그리고 곱창 굽고 자르기도 셀프 인 가게는 처음봄. 곱창 소스도 안줘서 달라니깐 테이블당 1개를 줌 ㅡㅡ 곱창 상태도 안좋고 서비스도 안좋고.. 옛날 리뷰에 속지 마세요../굿~/맛있어요~ 좀 느끼해서 청양고추 넣은 간장 소스 있으면 더 좋을듯!/굿/ㄱ/굿/너무너무 맛있어요 자주가는 단골집 ></맛있어요/굿/맛있고 친절해요~,21
0.0,0,없음,0
0.0,0,/ㅎㅎ,1
4.49,38,"/맛있어요/맛나요/우동 맛집!/잔치국수가 양도 많고 정말 맛있어요^^ 깍두기도 완전 대박 맛있음!!/./맛있어용/좋아요/맛있어요/굿/부천 국수 맛집이에요!! 잔치국수, 비빔국수, 김밥 진짜 맛있어요😋 양이 많은데 가격도 저렴해요🤍",15
4.22,51,/친절해서 좋았어요/굿/굿/좋아요/ㅈㅇㅇ/굿/좋아요/좋아요/굿/ㅈㅇㅇ,25
4.28,24,/흠/#백반집#옛날 돌솥#그자리/그냥/좋아요/가끔 생각나는 곳! 뼈해장국이나 제육 맛있음 :)/맛나요/새벽에 병원 다녀오면서 먹었던 곳이예요,7
4.29,158,/굿./좋아요/굿/좋아요/좋아요/긧/굿,71
3.92,14,/굿/굿/좋아요,3
4.54,382,/좋아요 ㅎㅎ/친절하고 좋습니다/이디아 커피 맛있습니다./깔끔하고 좋네요. 이디야카페로는 근방에서 분위기있는 곳이네요/좋아여/././굿/굿/좋아여,242
