상호명,행정동명,위도,경도,가게_주소
두꺼비포차,소사본동,37.4787585128488,126.793223158888,경기 부천시 호현로 473
양우포차,소사본동,37.4824450834381,126.796001846068,경기 부천시 소사로126번길 23
옛날짜장우동,소사본동,37.4764100469269,126.795307273152,경기 부천시 소사로 203
호커피,소사본동,37.481092393617,126.794124061413,경기 부천시 경인옛로22번길 8
할머니집,소사본동,37.4811832961624,126.792437930975,경기 부천시 호현로489번길 10
종로떡,소사본동,37.4794168503163,126.794162295335,경기 부천시 소사로170번길 62
시리우스호프,소사본동,37.4701722715909,126.795938721739,경기 부천시 부광로8번길 6
이디야커피,소사본동,37.4707188216644,126.795636026101,경기 부천시 소사로282번길 8
병천토부리순대,소사본동,37.4815724124053,126.792601266861,경기 부천시 호현로 493
여우고개맛,소사본동,37.4778632811685,126.792909681811,경기 부천시 호현로 448-1
페리카나,소사본동,37.4722294420888,126.795329157566,경기 부천시 소사로160번길 26-2
또오래오리전문점,소사본동,37.4800563547344,126.79856149082,경기 부천시 소사로247번길 11 1층
깻잎치킨,소사본동,37.4809217692335,126.79594714514,경기 부천시 소삼로 47
부원분식,소사본동,37.4778858028722,126.792468385182,경기 부천시 호현로447번길 6
중화각,소사본동,37.4795090018361,126.795246214987,경기 부천시 소사로 237-3
파리바게뜨,소사본동,37.481974464306,126.793148821515,경기 부천시 소사동로 82 센트럴프라자 105호
더안카페,소사본동,37.4723556824088,126.795338436524,경기 부천시 소사로 157
요거프레소,소사본동,37.4801521103158,126.791165602833,경기 부천시 신흥로56번길 30
민물장어산꼼장어전문점,소사본동,37.4798478639113,126.795783477008,경기 부천시 신흥로 38 1층 일부
실로암교회카페,소사본동,37.4759662103164,126.792431439256,경기 부천시 은성로62번길 13 백암빌딩 101호
사랑방왕돈까스,소사본동,37.4799923879122,126.793169395713,경기 부천시 호현로 473
마포주먹고기식당,소사본동,37.4776799597498,126.795252968427,경기 부천시 소사로 217
삼거리순대국식당,소사본동,37.4803983664271,126.793219397924,경기 부천시 호현로 477
페리카나,소사본동,37.4813772168556,126.793780287697,경기 부천시 소사로160번길 26-2
진미식당,소사본동,37.4823084414856,126.789683607091,경기 부천시 경인로 306-10
커피비,소사본동,37.4807184099082,126.79191401041,경기 부천시 호현로489번길 26
소머리국밥,소사본동,37.4787946454066,126.794997642932,경기 부천시 소삼로 30
연탄불생고기,소사본동,37.4737092345631,126.79818827822,경기 부천시 은성로68번길 34
맛나만두,소사본동,37.4783028700418,126.792721713363,경기 부천시 호현로 453-1
중앙식당,소사본동,37.4791439288071,126.793906638608,경기 부천시 호현로474번길 24
붐비어,소사본동,37.4723521092583,126.79498803337,경기 부천시 소사로159번길 9
잔치떡집,소사본동,37.4793976786542,126.794049541044,경기 부천시 경인로498번길 26
더벤티,소사본동,37.4678772275675,126.79796512769,경기 부천시 소사로 102 더벤티 부천소새울역점
카페웬디,소사본동,37.4801763725062,126.791775755006,경기 부천시 호현로489번길 31-7
양가네가마솥영양탕,소사본동,37.4809152227547,126.793538972564,경기 부천시 호현로 477
김파퍼베트남쌀국수,소사본동,37.478138526582,126.797812079821,경기 부천시 소삼로 46 드림타워
이모네포차,소사본동,37.4787600138051,126.793370114586,경기 부천시 소삼로 4
놀부빈대떡,소사본동,37.479661922965,126.795221147148,경기 부천시 소사로 239
친구네정육식당,소사본동,37.4769859266599,126.795230193062,경기 부천시 소사로 209-1
명태어장,소사본동,37.4734815685108,126.795297754394,경기 부천시 소사로 171
사랑채,소사본동,37.4807376992138,126.792038070652,경기 부천시 호현로489번길 22
소소한사치,소사본동,37.479964749469,126.795758988475,경기 부천시 호현로 489 1층 카페 소소한사치
카페정담,소사본동,37.4801521103158,126.791165602833,경기 부천시 호현로489번길 45-1 2층 정담
오가네소머리국밥,소사본동,37.4802089482822,126.793199831666,경기 부천시 호현로 475
소사순대,소사본동,37.4797564198325,126.793885487326,경기 부천시 은성로 66 1층 101호
기분좋은커피,소사본동,37.4742835939017,126.795307491282,경기 부천시 소사로 179
영광한식부페,소사본동,37.4759684942082,126.795303055678,경기 부천시 소사로 174-1
셀렉토커피,소사본동,37.4807027063418,126.793022293708,경기 부천시 호현로469번길 25 1층 2층
투썸플레이스,소사본동,37.4694974936818,126.796921754161,경기 부천시 경인로 386
양사부쿵푸짬뽕,소사본동,37.4795054278344,126.794895778448,경기 부천시 소삼로15번길 18
육회한통닭,소사본동,37.4805917098673,126.793623319332,경기 부천시 호현로 480 1층
카페노랑,소사본동,37.4816753543575,126.797393601315,경기 부천시 경인로 376 부성파인 오피스텔 1층
반올림피자샵,소사본동,37.4750192253616,126.800304055742,경기 부천시 은성로 86
김밥천국,소사본동,37.481688488404,126.792497639693,경기 부천시 호현로 495
시골즉석손두부,소사본동,37.4794491933674,126.793799975706,경기 부천시 호현로474번길 18
쿠웨이트떡볶이,소사본동,37.469565562371,126.795643225421,경기 부천시 소사로125번길 15 1층
Hocoffee,소사본동,37.481092393617,126.794124061413,경기 부천시 경인옛로22번길 8
보원,소사본동,37.4787254789071,126.793517649691,경기 부천시 소삼로 6
시골영양탕,소사본동,37.477032150719,126.792696933483,경기 부천시 호현로 440-1
시골영양탕,소사본동,37.4805329060055,126.794924501887,경기 부천시 호현로 440-1
파리바게뜨,소사본동,37.4796031568722,126.792994755664,경기 부천시 소사동로 82 센트럴프라자 105호
이디야커피,소사본동,37.4801992366657,126.791368358008,경기 부천시 소사로282번길 8
월드대박,소사본동,37.4787600138051,126.793370114586,경기 부천시 소삼로 4
행복한포차,소사본동,37.4812880239363,126.795635991518,경기 부천시 부일로449번길 40
빵나라빵마을,소사본동,37.4796488898273,126.793943747147,경기 부천시 호현로474번길 13-2
강호동치킨678,소사본동,37.4797188060013,126.797266672132,경기 부천시 소삼로 47 부천소사역 푸르지오
우정식당,소사본동,37.4805062334134,126.791431251312,경기 부천시 호현로489번길 38
서신분식,소사본동,37.4812715363764,126.792255606514,경기 부천시 호현로497번길 20-2
바비큐,소사본동,37.4772388681881,126.795293967661,경기 부천시 소사로 243
시골식당,소사본동,37.4805329060055,126.794924501887,경기 부천시 소사로 257
배진화옛날통닭,소사본동,37.471484524033,126.797387327335,경기 부천시 소사로148번길 31
크리스마스자몽,소사본동,37.4783022585209,126.790019572427,경기 부천시 호현로489번길 52
복죽,소사본동,37.4797033754578,126.795751877013,경기 부천시 소사로 240
