상호명,업종중분류명,업종소분류명,표준산업분류명,행정동명,위도,경도,네이버키워드,naver_store_url
만나뚝배기,한식,한식/백반/한정식,한식 음식점업,별내동,37.6515561027843,127.111661950769,별내동%20만나뚝배기,https://m.place.naver.com/restaurant/1129495754
싸다맥주창고,유흥주점,호프/맥주,기타 주점업,별내동,37.6464474522758,127.12617087385,별내동%20싸다맥주창고,https://m.place.naver.com/restaurant/1104090758
씨에프커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6573520205526,127.116760964989,별내동%20씨에프커피,https://m.place.naver.com/restaurant/1234803852
피니치니,닭/오리요리,후라이드/양념치킨,치킨 전문점,별내동,37.6501546112849,127.120631229409,별내동%20피니치니,https://m.place.naver.com/restaurant/36798217
별내린,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.665817023204,127.114926446184,별내동%20별내린,https://m.place.naver.com/restaurant/37445925
테트리스찜닭,한식,한식/백반/한정식,한식 음식점업,별내동,37.6583954451672,127.126200861676,별내동%20테트리스찜닭,https://m.place.naver.com/restaurant/1840728610
뚱볶이,분식,라면김밥분식,분식 및 김밥 전문점,별내동,37.6524716458066,127.114790212112,별내동%20뚱볶이,https://m.place.naver.com/restaurant/1329246934
홍짜장별내신도시점,중식,중국음식/중국집,중식 음식점업,별내동,37.6454385434525,127.126205356664,별내동%20홍짜장별내신도시점,https://m.place.naver.com/restaurant/1889158150
버치,양식,정통양식/경양식,서양식 음식점업,별내동,37.6516967563819,127.111195638018,별내동%20버치,https://m.place.naver.com/restaurant/1036990944
미쓰봉닭한마리,닭/오리요리,삼계탕전문,한식 음식점업,별내동,37.6665903074577,127.121944893092,별내동%20미쓰봉닭한마리,https://m.place.naver.com/restaurant/37942332
보노,양식,정통양식/경양식,서양식 음식점업,별내동,37.6676858215079,127.116615846794,별내동%20보노,https://m.place.naver.com/restaurant/1080190112
이디야커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6558123766151,127.126593797547,별내동%20이디야커피,https://m.place.naver.com/restaurant/36090806
한솥,패스트푸드,도시락전문점,한식 음식점업,별내동,37.6498781553108,127.113789753254,별내동%20한솥,https://m.place.naver.com/restaurant/1502562848
815종합어시장,일식/수산물,횟집,한식 음식점업,별내동,37.6515892076166,127.129397086121,별내동%20815종합어시장,https://m.place.naver.com/restaurant/1896627811
배달연구소,한식,한식/백반/한정식,한식 음식점업,별내동,37.6512596030571,127.115371226955,별내동%20배달연구소,https://m.place.naver.com/restaurant/437331115
알쌈쭈꾸미,일식/수산물,수산물전문음식점-종합,한식 음식점업,별내동,37.6570234679183,127.125876937659,별내동%20알쌈쭈꾸미,https://m.place.naver.com/restaurant/1412565442
리얼문어타코홀릭,한식,한식/백반/한정식,한식 음식점업,별내동,37.65298085344,127.114206193948,별내동%20리얼문어타코홀릭,https://m.place.naver.com/restaurant/1364170286
푸주한,한식,한식/백반/한정식,한식 음식점업,별내동,37.6661797659431,127.117642496058,별내동%20푸주한,https://m.place.naver.com/restaurant/1139233412
바다향기,일식/수산물,음식점-일식,일식 음식점업,별내동,37.658339968654,127.128445572263,별내동%20바다향기,https://m.place.naver.com/restaurant/1176449423
미감돈까스,양식,돈가스전문점,서양식 음식점업,별내동,37.6594079560979,127.129090447755,별내동%20미감돈까스,https://m.place.naver.com/restaurant/1792752687
참치집,일식/수산물,참치전문점,일식 음식점업,별내동,37.6560814884429,127.128868637594,별내동%20참치집,https://m.place.naver.com/restaurant/1203622932
패밀리포차,유흥주점,소주방/포장마차,기타 주점업,별내동,37.6495867143891,127.107401802169,별내동%20패밀리포차,https://m.place.naver.com/restaurant/1356444316
황해칼국수,분식,국수/만두/칼국수,분식 및 김밥 전문점,별내동,37.6466590018002,127.123108793048,별내동%20황해칼국수,https://m.place.naver.com/restaurant/1323349360
빽다방,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6661797659431,127.117642496058,별내동%20빽다방,https://m.place.naver.com/restaurant/1417397175
시집온닭갈비,닭/오리요리,닭갈비전문,한식 음식점업,별내동,37.6507371131453,127.112986273118,별내동%20시집온닭갈비,https://m.place.naver.com/restaurant/1056166984
설빙,기타음식업,고속도로휴게소,그외 기타 음식점업,별내동,37.658555789091,127.124736939029,별내동%20설빙,https://m.place.naver.com/restaurant/37191747
쭌오뎅포차,유흥주점,소주방/포장마차,기타 주점업,별내동,37.6507304162812,127.114493571416,별내동%20쭌오뎅포차,https://m.place.naver.com/restaurant/1044310772
페보릿,한식,한식/백반/한정식,한식 음식점업,별내동,37.6653105318006,127.114671762595,별내동%20페보릿,https://m.place.naver.com/restaurant/1301876848
두레통닭,유흥주점,호프/맥주,기타 주점업,별내동,37.6496416927404,127.113497923152,별내동%20두레통닭,https://m.place.naver.com/restaurant/1435623421
땅스부대찌개,한식,부대찌개/섞어찌개,한식 음식점업,별내동,37.6501546112849,127.120631229409,별내동%20땅스부대찌개,https://m.place.naver.com/restaurant/1208855762
스시룡,일식/수산물,음식점-초밥전문,일식 음식점업,별내동,37.6463611794907,127.123044303495,별내동%20스시룡,https://m.place.naver.com/restaurant/1585879560
바이더치킨&피자,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",별내동,37.652591915755,127.115208096366,별내동%20바이더치킨&피자,https://m.place.naver.com/restaurant/1176444020
국수나무,분식,국수/만두/칼국수,분식 및 김밥 전문점,별내동,37.646875127918,127.125519945422,별내동%20국수나무,https://m.place.naver.com/restaurant/1710041713
동명카츠,양식,정통양식/경양식,서양식 음식점업,별내동,37.6501546112849,127.120631229409,별내동%20동명카츠,https://m.place.naver.com/restaurant/1574954747
우리동네아이스크림할인점,패스트푸드,아이스크림판매,제과점업,별내동,37.6494789762141,127.120650528144,별내동%20우리동네아이스크림할인점,https://m.place.naver.com/restaurant/1155329234
남해생아구,일식/수산물,아구전문,한식 음식점업,별내동,37.6466472965222,127.122746311217,별내동%20남해생아구,https://m.place.naver.com/restaurant/38002941
김가네,분식,라면김밥분식,분식 및 김밥 전문점,별내동,37.6666818421037,127.117307840224,별내동%20김가네,https://m.place.naver.com/restaurant/38632397
명태명가,한식,한식/백반/한정식,한식 음식점업,별내동,37.6482044431623,127.123736552709,별내동%20명태명가,https://m.place.naver.com/restaurant/87665723
바느통,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6661369414589,127.116736217721,별내동%20바느통,https://m.place.naver.com/restaurant/946165123
자담치킨별내,유흥주점,호프/맥주,기타 주점업,별내동,37.6515217128109,127.113078934203,별내동%20자담치킨별내,https://m.place.naver.com/restaurant/1435379787
별미가,일식/수산물,음식점-일식,일식 음식점업,별내동,37.6443913154608,127.11026285634,별내동%20별미가,https://m.place.naver.com/restaurant/1660656334
폴앤아티,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6562609272886,127.128764541238,별내동%20폴앤아티,https://m.place.naver.com/restaurant/77312895
카페,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6672509709144,127.117505129737,별내동%20카페,https://m.place.naver.com/restaurant/1188021960
59피자,패스트푸드,패스트푸드,그외 기타 음식점업,별내동,37.6467078198747,127.121193133721,별내동%2059피자,https://m.place.naver.com/restaurant/37278269
공룡치킨,유흥주점,호프/맥주,기타 주점업,별내동,37.6660006768128,127.117791968488,별내동%20공룡치킨,https://m.place.naver.com/restaurant/1384143244
로겐브로트,제과제빵떡케익,제과점,제과점업,별내동,37.6656509142938,127.118011468397,별내동%20로겐브로트,https://m.place.naver.com/restaurant/1509271896
바나바나,분식,라면김밥분식,분식 및 김밥 전문점,별내동,37.6659485893671,127.11685179762,별내동%20바나바나,https://m.place.naver.com/restaurant/38676555
BHC치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,별내동,37.6674176650841,127.115700889298,별내동%20BHC치킨,https://m.place.naver.com/restaurant/35644235
철원양평해장국,한식,해장국/감자탕,한식 음식점업,별내동,37.6519858135231,127.130639050171,별내동%20철원양평해장국,https://m.place.naver.com/restaurant/1203166271
영순이분식,분식,라면김밥분식,분식 및 김밥 전문점,별내동,37.6657808012392,127.117307176165,별내동%20영순이분식,https://m.place.naver.com/restaurant/1166394666
육당,한식,기타고기요리,한식 음식점업,별내동,37.6510294228505,127.113515424609,별내동%20육당,https://m.place.naver.com/restaurant/37616058
송사부수제쌀고로케이마트,패스트푸드,도너츠전문,제과점업,별내동,37.6428056373593,127.125952915911,별내동%20송사부수제쌀고로케이마트,https://m.place.naver.com/restaurant/1597308254
굽네,닭/오리요리,후라이드/양념치킨,치킨 전문점,별내동,37.6483009391546,127.123384123603,별내동%20굽네,https://m.place.naver.com/restaurant/36216124
블리스에잇,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6525803197613,127.128172909559,별내동%20블리스에잇,https://m.place.naver.com/restaurant/1798423233
나누리솥뚜껑구이,한식,한식/백반/한정식,한식 음식점업,별내동,37.6512808393516,127.113399110443,별내동%20나누리솥뚜껑구이,https://m.place.naver.com/restaurant/1314756519
