상호명,업종중분류명,업종소분류명,표준산업분류명,행정동명,위도,경도,네이버키워드,naver_store_url,store_address
하우농원,닭/오리요리,오리고기전문,한식 음식점업,대야동,37.4700777602839,126.784070167103,대야동%20하우농원,https://m.place.naver.com/restaurant/11692216,경기 시흥시 하우로122번길 44
정가네식당,한식,한식/백반/한정식,한식 음식점업,대야동,37.4454555621462,126.797600689408,대야동%20정가네식당,https://m.place.naver.com/restaurant/1429070930,경기 시흥시 은행로173번길 7
솔밭농원,한식,한식/백반/한정식,한식 음식점업,대야동,37.4575764382098,126.801328766811,대야동%20솔밭농원,https://m.place.naver.com/restaurant/1076217916,경기 시흥시 범안로266번길 125 솔밭농원
조양,한식,갈비/삼겹살,한식 음식점업,대야동,37.3348869675013,126.90814896713,대야동%20조양,https://m.place.naver.com/restaurant/37910762,경기 시흥시 하우로 61-33
제일분식,분식,라면김밥분식,분식 및 김밥 전문점,대야동,37.4446658050482,126.784696281297,대야동%20제일분식,https://m.place.naver.com/restaurant/31613961,경기 시흥시 호현로49번길 4-1
장수보양촌,한식,한식/백반/한정식,한식 음식점업,대야동,37.4461687198778,126.798617688021,대야동%20장수보양촌,https://m.place.naver.com/restaurant/1253584874,경기 시흥시 대은로103번길 7 1층
전통식남원추어탕,한식,추어탕전문,한식 음식점업,대야동,37.4423382262994,126.786169112246,대야동%20전통식남원추어탕,https://m.place.naver.com/restaurant/1834337351,경기 시흥시 대골안길 86
카페겁쟁이페달,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,대야동,37.4459639732269,126.7979767934,대야동%20카페겁쟁이페달,https://m.place.naver.com/restaurant/1297721458,경기 시흥시 대은로103번길 7 1층
무교동낙지,일식/수산물,낙지/오징어,한식 음식점업,대야동,37.4548879526551,126.816189336161,대야동%20무교동낙지,https://m.place.naver.com/restaurant/12875590,경기 시흥시 비둘기공원6길 10 이산프라자 II(비둘기공원6길 8)
몽블랑,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,대야동,37.324318799798,126.887981103095,대야동%20몽블랑,https://m.place.naver.com/restaurant/1149680060,경기 부천시 소사로125번나길 19
대성한식뷔페,부페,한식부페,한식 음식점업,대야동,37.4454796258639,126.810664422889,대야동%20대성한식뷔페,https://m.place.naver.com/restaurant/1276574654,경기 시흥시 계수로86번길 40-1
홍두깨칼국수전문점,분식,국수/만두/칼국수,분식 및 김밥 전문점,대야동,37.4561605335876,126.787076009071,대야동%20홍두깨칼국수전문점,https://m.place.naver.com/restaurant/1823058612,경기 시흥시 삼미시장2길 36
마산원조아구찜시흥본점,일식/수산물,해물찜/탕전문,한식 음식점업,대야동,37.4401704327254,126.792690518102,대야동%20마산원조아구찜시흥본점,https://m.place.naver.com/restaurant/1087701167,경기 시흥시 대은로 13-1
옥천영양돌솥밥,한식,돌솥/비빕밥전문점,한식 음식점업,대야동,37.4427966382354,126.786060000056,대야동%20옥천영양돌솥밥,https://m.place.naver.com/restaurant/17889065,경기 시흥시 호현로34번길 9-1
한스,한식,한식/백반/한정식,한식 음식점업,대야동,37.4431809675487,126.787511590572,대야동%20한스,https://m.place.naver.com/restaurant/1636988806,경기 시흥시 신천로63번길 3-1
김밥나라,분식,라면김밥분식,분식 및 김밥 전문점,대야동,37.442142591834,126.791698276843,대야동%20김밥나라,https://m.place.naver.com/restaurant/1030924295,경기 시흥시 은행로167번길 12
중년7080라이브,유흥주점,호프/맥주,기타 주점업,대야동,37.4423975749612,126.78580653244,대야동%20중년7080라이브,https://m.place.naver.com/restaurant/1004470857,경기 시흥시 뱀내장터로 9
프라넬커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,대야동,37.442142591834,126.791698276843,대야동%20프라넬커피,https://m.place.naver.com/restaurant/1698932588,"경기 시흥시 비둘기공원7길 46 월드타운 104,201,202호"
선식당,양식,기타전문서양음식점,서양식 음식점업,대야동,37.4466752231189,126.797920208002,대야동%20선식당,https://m.place.naver.com/restaurant/1915055676,경기 시흥시 대은로103번길 17 1층
푸른바다찜탕,한식,한식/백반/한정식,한식 음식점업,대야동,37.4451519568983,126.787287663672,대야동%20푸른바다찜탕,https://m.place.naver.com/restaurant/1332821438,경기 시흥시 복지로53번길 22-1 (대야동)
진도야족발보쌈,한식,족발/보쌈전문,한식 음식점업,대야동,37.4431605151225,126.787274604384,대야동%20진도야족발보쌈,https://m.place.naver.com/restaurant/1153323315,경기 시흥시 호현로40번길 19
모모솜사탕,분식,스낵,분식 및 김밥 전문점,대야동,37.453752701672,126.816195927683,대야동%20모모솜사탕,https://m.place.naver.com/restaurant/1912042689,경기 시흥시 범안로336번길 6 2층
장수촌,한식,한식/백반/한정식,한식 음식점업,대야동,37.4594895023584,126.783970366412,대야동%20장수촌,https://m.place.naver.com/restaurant/34391669,경기 시흥시 하우로 51
모도리감자탕뼈찜,한식,한식/백반/한정식,한식 음식점업,대야동,37.4424649502175,126.792382433969,대야동%20모도리감자탕뼈찜,https://m.place.naver.com/restaurant/1958843068,경기 시흥시 비둘기공원7길 39 2층
동춘칡냉면,한식,냉면집,한식 음식점업,대야동,37.4489220648686,126.791171074995,대야동%20동춘칡냉면,https://m.place.naver.com/restaurant/17889347,경기 시흥시 복지로99번길 16 범용산업
베스트,한식,한식/백반/한정식,한식 음식점업,대야동,37.442190744106,126.790239721037,대야동%20베스트,https://m.place.naver.com/restaurant/13513108,경기 시흥시 비둘기공원5길 23 더베스트프라자(비둘기공원5길 15)
