상호명,업종중분류명,업종소분류명,표준산업분류명,행정동명,위도,경도
고스트피자,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",대야동,37.4601167937961,126.788899760637
최가네미친만두,분식,국수/만두/칼국수,분식 및 김밥 전문점,대야동,37.4629422955195,126.791171454404
송가네빈대떡,한식,한식/백반/한정식,한식 음식점업,대야동,37.4457765083252,126.798149310491
치즈를사랑한찜닭,닭/오리요리,찜닭전문점,한식 음식점업,대야동,37.4440901761273,126.787429112287
뷰티해봄,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,대야동,37.4430001733574,126.792735455711
식도락,한식,한식/백반/한정식,한식 음식점업,대야동,37.3362633861982,126.908885128914
팔미낙지한마리수제비,분식,국수/만두/칼국수,분식 및 김밥 전문점,대야동,37.4432746022585,126.791374950678
유가네닭갈비,닭/오리요리,닭갈비전문,한식 음식점업,대야동,37.3155518844015,126.917183350397
마이웨이,유흥주점,룸살롱/단란주점,일반유흥 주점업,대야동,37.4419279805779,126.790097044012
카페,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,대야동,37.3166205432199,126.923700259424
행복을나누는카페동행,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,대야동,37.4455728558826,126.785280568615
생오리돌판구이,닭/오리요리,오리고기전문,한식 음식점업,대야동,37.4589196563,126.812101849794
술친구,한식,한식/백반/한정식,한식 음식점업,대야동,37.4424319855359,126.785647767101
미스터보쌈,한식,족발/보쌈전문,한식 음식점업,대야동,37.4419591937493,126.786988878072
미드웨이,일식/수산물,복전문,한식 음식점업,대야동,37.4533695264267,126.822938164676
레몬,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,대야동,37.4662042809864,126.784166821241
바람부리명태찜,한식,한식/백반/한정식,한식 음식점업,대야동,37.4453444711306,126.786730802156
롯데슈퍼,제과제빵떡케익,제과점,제과점업,대야동,37.3266013787886,126.918423949498
둔내막국수,분식,국수/만두/칼국수,분식 및 김밥 전문점,대야동,37.4529020248854,126.78915173414
